informant,sp_name,Use_1,Use_2,Use_3,Use_4,Use_5,Use_6,Use_7,Use_8,Use_9,Use_10
inform_a,sp_a,0,0,1,0,0,0,0,1,1,0
inform_a,sp_b,0,0,0,0,0,0,0,0,0,0
inform_a,sp_c,0,0,0,0,0,1,1,0,0,0
inform_a,sp_d,0,0,0,0,0,0,0,0,0,0
inform_b,sp_a,0,1,1,0,0,1,0,0,1,0
inform_b,sp_b,1,0,0,0,0,0,1,0,0,0
inform_b,sp_c,1,0,0,0,0,0,0,1,0,0
inform_b,sp_d,0,0,0,0,0,0,0,0,0,0
inform_c,sp_a,0,1,1,0,0,0,0,1,1,0
inform_c,sp_b,0,0,0,0,0,1,1,0,0,0
inform_c,sp_c,1,1,0,0,0,1,0,0,0,0
inform_c,sp_d,0,0,0,0,0,0,0,0,0,0
inform_d,sp_a,0,1,0,0,1,0,0,1,0,1
inform_d,sp_b,0,0,0,0,0,0,0,0,0,0
inform_d,sp_c,1,0,0,0,0,1,0,1,0,0
inform_d,sp_d,0,0,1,0,0,0,1,0,0,0
inform_e,sp_a,0,0,1,0,0,0,0,0,0,0
inform_e,sp_b,0,0,0,0,0,0,1,0,1,0
inform_e,sp_c,0,0,0,0,0,0,0,0,0,0
inform_e,sp_d,0,0,0,0,0,0,1,0,0,0
inform_f,sp_a,0,1,1,0,0,1,0,1,0,0
inform_f,sp_b,1,0,0,0,0,1,1,0,1,0
inform_f,sp_c,0,0,0,0,0,0,0,1,0,0
inform_f,sp_d,0,0,0,0,0,0,0,0,0,0
inform_g,sp_a,0,0,0,0,0,0,0,0,0,0
inform_g,sp_b,0,0,1,0,0,0,1,0,1,0
inform_g,sp_c,1,0,0,0,0,1,0,0,0,0
inform_g,sp_d,1,0,0,0,1,0,1,1,0,0
inform_h,sp_a,0,1,1,0,0,0,0,0,1,0
inform_h,sp_b,0,0,0,0,0,0,0,0,0,0
inform_h,sp_c,1,0,0,0,0,0,0,1,0,0
inform_h,sp_d,1,1,1,0,0,1,0,1,1,0
inform_i,sp_a,0,1,0,0,0,0,0,1,1,0
inform_i,sp_b,0,0,1,0,0,0,1,0,1,0
inform_i,sp_c,0,0,0,0,0,0,0,0,0,0
inform_i,sp_d,0,0,1,0,0,1,0,1,0,0
inform_j,sp_a,0,0,0,0,0,1,0,1,0,0
inform_j,sp_b,1,0,1,0,0,1,1,0,1,0
inform_j,sp_c,0,1,0,0,0,0,1,1,0,0
inform_j,sp_d,0,0,0,0,0,0,0,0,0,0
inform_eight,sp_a,0,0,0,0,0,0,0,0,0,0
inform_eight,sp_b,0,0,0,0,0,0,0,0,0,0
inform_eight,sp_c,0,1,0,0,1,0,1,1,0,1
inform_eight,sp_d,0,0,1,0,0,0,0,1,0,0
inform_five,sp_a,0,0,0,0,1,1,0,0,0,0
inform_five,sp_b,0,0,0,0,0,0,0,0,0,0
inform_five,sp_c,1,0,0,0,1,0,1,1,0,1
inform_five,sp_d,1,1,1,0,0,0,0,1,1,0
inform_four,sp_a,0,1,1,0,0,1,0,0,0,0
inform_four,sp_b,0,0,0,0,0,0,0,0,0,0
inform_four,sp_c,0,0,0,0,0,0,0,0,0,0
inform_four,sp_d,0,1,0,0,0,0,1,1,0,0
inform_nine,sp_a,0,1,1,0,1,0,0,0,0,0
inform_nine,sp_b,0,0,1,1,0,0,0,0,0,0
inform_nine,sp_c,0,1,0,1,1,0,0,0,0,1
inform_nine,sp_d,0,0,0,0,0,0,1,1,1,0
inform_one,sp_a,0,0,0,0,0,0,0,0,0,0
inform_one,sp_b,0,0,0,0,1,1,0,0,0,0
inform_one,sp_c,0,0,0,1,0,0,0,1,0,0
inform_one,sp_d,0,0,0,0,0,1,1,0,1,0
inform_seven,sp_a,0,0,0,0,0,0,0,0,0,0
inform_seven,sp_b,0,0,0,0,0,0,0,0,0,0
inform_seven,sp_c,0,1,0,1,0,0,0,0,0,1
inform_seven,sp_d,0,0,0,0,0,0,0,0,0,0
inform_six,sp_a,0,0,0,0,0,1,0,0,0,1
inform_six,sp_b,1,0,0,1,1,1,0,0,0,0
inform_six,sp_c,1,0,0,1,0,0,0,1,0,1
inform_six,sp_d,0,0,0,0,0,0,0,0,0,0
inform_ten,sp_a,0,0,1,0,1,0,0,0,0,0
inform_ten,sp_b,1,0,1,1,1,0,0,0,0,0
inform_ten,sp_c,1,1,0,1,0,0,0,1,0,1
inform_ten,sp_d,1,0,1,0,0,1,1,1,0,0
inform_three,sp_a,0,0,0,0,0,0,0,0,0,0
inform_three,sp_b,0,0,0,0,0,0,0,0,0,0
inform_three,sp_c,1,1,0,1,0,0,0,1,0,0
inform_three,sp_d,0,0,0,0,0,0,0,0,0,0
inform_two,sp_a,0,0,0,0,1,1,0,0,0,1
inform_two,sp_b,1,0,0,1,1,0,0,0,0,0
inform_two,sp_c,0,0,0,0,0,0,1,1,0,0
inform_two,sp_d,1,0,1,0,0,1,1,1,1,0
